,Top_1_name,Predictions
%C3%81ed%C3%A1n_mac_Gabr%C3%A1in,,Scotland
%C3%85land,åland islands,Åland Islands
%C3%89douard_Manet,france,France
%C3%89ire,ireland,Ireland
%C3%93engus_I_of_the_Picts,afghanistan,Afghanistan
%E2%82%AC2_commemorative_coins,italy,Italy
10th_century,afghanistan,Afghanistan
11th_century,afghanistan,Afghanistan
12th_century,france,France
13th_century,china,China
14th_century,india,India
15th_century,,
15th_Marine_Expeditionary_Unit,united states,United States
16th_century,poland,Poland
16_Cygni,,
16_Cygni_Bb,,
1755_Lisbon_earthquake,portugal,Portugal
17th_century,japan,Japan
1896_Summer_Olympics,greece,Greece
18th_century,afghanistan,Afghanistan
1928_Okeechobee_Hurricane,afghanistan,Afghanistan
1973_oil_crisis,united states,United States
1980_eruption_of_Mount_St._Helens,united states,United States
1997_Pacific_hurricane_season,mexico,Mexico
19th_century,united kingdom,United Kingdom
1st_century,oman,Romania
1st_century_BC,oman,Romania
1_Ceres,afghanistan,Afghanistan
2-6-0,united states,United States
2-8-0,china,China
2003_Atlantic_hurricane_season,united states,United States
2004_Atlantic_hurricane_season,bahamas,Bahamas
2004_Indian_Ocean_earthquake,india,India
2005_Atlantic_hurricane_season,united states,United States
2005_Hertfordshire_Oil_Storage_Terminal_fire,united kingdom,United Kingdom
2005_Kashmir_earthquake,pakistan,Pakistan
2005_Lake_Tanganyika_earthquake,tanzania,Tanzania
2005_Sumatra_earthquake,indonesia,Indonesia
20th_century,china,China
21st_century,australia,Australia
2nd_century,oman,Romania
3rd_century,china,China
3_Juno,,
4-2-0,united states,United States
4-4-0,united states,United States
4-6-0,united states,United States
47_Ursae_Majoris,afghanistan,Afghanistan
47_Ursae_Majoris_b,,
47_Ursae_Majoris_c,,
4th_century,china,China
4_Vesta,,
55_Cancri,,
55_Cancri_b,,
55_Cancri_c,,
55_Cancri_d,,
55_Cancri_e,,
5th_century,oman,Romania
6-2-0,united states,United States
6th_century,poland,Poland
7th_century,afghanistan,Afghanistan
8th_century,united kingdom,United Kingdom
90377_Sedna,,
9th_century,afghanistan,Afghanistan
A._E._J._Collins,afghanistan,Afghanistan
Aachen,germany,Germany
Aardvark,south africa,South Africa
Aarhus,denmark,Denmark.
Abac%C3%A1,philippines,Philippines
Abacus,china,China
Abadan,iran,Iran
Abbadid,afghanistan,Afghanistan
Abbasid,iraq,Iraq
Abbas_I_of_Persia,afghanistan,Afghanistan
Abbey,united kingdom,United Kingdom
Abbey_Theatre,ireland,Ireland
Abbot,united kingdom,United Kingdom
Abel_Tasman,australia,Australia
Aberdeen,,Scotland
Aberration_of_light,afghanistan,Afghanistan
Aberystwyth,,Wales
Abhidhamma_Pitaka,afghanistan,Afghanistan
Abidjan,,Côte d'Ivoire
Abkhazia,georgia,Georgia
Able_Archer_83,united states,United States
ABO_blood_group_system,afghanistan,Afghanistan
Abraham_Goldfaden,oman,Romania
Abraham_Lincoln,united states,United States
Absinthe,france,France
Absolute_zero,,
Abstract_art,,
Abuja,niger,Nigeria
Abu_Dhabi,united arab emirates,United Arab Emirates
Acceleration,,
Accountancy,united kingdom,United Kingdom
Accra,ghana,Ghana
Acetic_acid,united states,United States
Acetone,afghanistan,Afghanistan
Achilles,greece,Greece
Achilles_tendon,afghanistan,Afghanistan
Acid_rain,china,China
Acorn_Computers,united kingdom,United Kingdom
Actinium,,
Action_potential,afghanistan,Afghanistan
Actor,united kingdom,United Kingdom
Acts_of_Union_1707,united kingdom,United Kingdom
Actuary,united states,United States
AC_DC,australia,Australia
Adam_Smith,,Scotland
Addis_Ababa,ethiopia,Ethiopia
Adelaide,australia,Australia
Adenosine_triphosphate,afghanistan,Afghanistan
Adi_Shankara,india,India
Adolf_Hitler,germany,Germany
Adriaen_van_der_Donck,netherlands,Netherlands
Advertising,japan,Japan
Aesthetics,china,China
Afghanistan,afghanistan,Afghanistan
Afghan_Hound,afghanistan,Afghanistan
Africa,south africa,South Africa
African_American_literature,united states,United States
African_Black_Oystercatcher,south africa,South Africa
African_Brush-tailed_Porcupine,cameroon,Cameroon
African_Buffalo,south africa,South Africa
African_clawed_frog,south africa,South Africa
African_Darter,south africa,South Africa
African_dwarf_frog,afghanistan,Afghanistan
African_Great_Lakes,burundi,Burundi
African_Grey_Hornbill,south africa,South Africa
African_Grey_Parrot,afghanistan,Afghanistan
African_Jacana,south africa,South Africa
African_Penguin,south africa,South Africa
African_slave_trade,niger,Nigeria
African_Union,ethiopia,Ethiopia
African_Wild_Dog,botswana,Botswana
Afrikaans,south africa,South Africa
Agamemnon,greece,Greece
Age_of_Enlightenment,france,France
Aggregator,,
Agnosticism,afghanistan,Afghanistan
Agriculture,germany,Germany
AIDS,uganda,Uganda
Airbus,france,France
Airbus_A380,france,France
Aircraft,australia,Australia
Aircraft_carrier,united states,United States
Airship,united states,United States
Ajax_%28programming%29,united states,United States
AK-47,russia,Russia
Akbar,india,India
Akhenaten,egypt,Egypt
Akira_Kurosawa,japan,Japan
Akkadian_Empire,afghanistan,Afghanistan
Akrotiri_and_Dhekelia,cyprus,Cyprus
Aksumite_currency,ethiopia,Ethiopia
Alamosaurus,afghanistan,Afghanistan
Alan_Turing,united kingdom,United Kingdom
Albania,albania,Albania
Albatross,australia,Australia
Albertosaurus,canada,Canada
Alberto_Santos-Dumont,brazil,Brazil
Albert_Einstein,germany,Germany
Albigensian_Crusade,france,France
Albinism,afghanistan,Afghanistan
Albrecht_D%C3%BCrer,germany,Germany
Albrecht_Rodenbach,belgium,Belgium
Alchemy,china,China
Alcibiades,greece,Greece
Alcohol,afghanistan,Afghanistan
ALCO_FA,united states,United States
Aleksandr_Pushkin,russia,Russia
Aleksandr_Vasilevsky,russia,Russia
Aleksey_Arakcheyev,russia,Russia
Alexander_Graham_Bell,canada,Canada
Alexander_Hamilton,united states,United States
Alexander_the_Great,greece,Greece
Alfred_Hitchcock,united kingdom,United Kingdom
Alfred_Nobel,sweden,Sweden
Alfred_the_Great,united kingdom,United Kingdom
Algebra,india,India
Algeria,algeria,<Algeria>
Algerian_Civil_War,algeria,Algeria
Algiers,algeria,Algeria
Algol,afghanistan,Afghanistan
Algoma_Central_Railway,canada,Canada
Algorithm,,
Alice%27s_Adventures_in_Wonderland,united kingdom,United Kingdom
Allah,afghanistan,Afghanistan
Allegory_in_the_Middle_Ages,afghanistan,Afghanistan
Alligator,united states,United States
Alliterative_verse,afghanistan,Afghanistan
Allosaurus,afghanistan,Afghanistan
All_Blacks,new zealand,New Zealand
All_your_base_are_belong_to_us,,
All_You_Need_Is_Love_%28The_JAMs_song%29,united kingdom,United Kingdom
Almaty,kazakhstan,Kazakhstan
Almond,turkey,Turkey
Alpaca,peru,Peru.
Alphabet,afghanistan,Afghanistan
Alternating_current,afghanistan,Afghanistan
Alternation_of_generations,afghanistan,Afghanistan
