,Top_1_name,Predictions
%C3%81ed%C3%A1n_mac_Gabr%C3%A1in,ireland,Ireland.
%C3%85land,finland,Finland
%C3%89douard_Manet,france,France
%C3%89ire,ireland,Ireland
%C3%93engus_I_of_the_Picts,,Scotland.
%E2%82%AC2_commemorative_coins,luxembourg,Luxembourg
10th_century,india,India
11th_century,,None
12th_century,hungary,Hungary
13th_century,,None
14th_century,italy,Italy
15th_century,,None
15th_Marine_Expeditionary_Unit,united states,United States
16th_century,portugal,Portugal
16_Cygni,,Cygnus
16_Cygni_Bb,,Cygnus
1755_Lisbon_earthquake,portugal,Portugal
17th_century,japan,Japan
1896_Summer_Olympics,greece,Greece
18th_century,france,France
1928_Okeechobee_Hurricane,united states,United States.
1973_oil_crisis,saudi arabia,Saudi Arabia
1980_eruption_of_Mount_St._Helens,united states,United States.
1997_Pacific_hurricane_season,mexico,Mexico
19th_century,united kingdom,United Kingdom
1st_century,,Rome
1st_century_BC,romania,Romania
1_Ceres,italy,Italy
2-6-0,united states,United States
2-8-0,china,China
2003_Atlantic_hurricane_season,united states,United States
2004_Atlantic_hurricane_season,united states,United States
2004_Indian_Ocean_earthquake,indonesia,Indonesia
2005_Atlantic_hurricane_season,united states,United States
2005_Hertfordshire_Oil_Storage_Terminal_fire,,England.
2005_Kashmir_earthquake,pakistan,Pakistan
2005_Lake_Tanganyika_earthquake,,Democratic Republic of the Congo
2005_Sumatra_earthquake,indonesia,Indonesia
20th_century,,None
21st_century,,None
2nd_century,,Rome
3rd_century,oman,Roman Empire
3_Juno,germany,Germany
4-2-0,united states,United States
4-4-0,united states,United States.
4-6-0,united states,United States.
47_Ursae_Majoris,canada,Canada
47_Ursae_Majoris_b,,Ursa Major
47_Ursae_Majoris_c,,Ursa Major
4th_century,oman,Roman Empire
4_Vesta,germany,Germany
55_Cancri,,None
55_Cancri_b,,None
55_Cancri_c,,None
55_Cancri_d,,None
55_Cancri_e,,None
5th_century,,Europe
6-2-0,united states,United States
6th_century,portugal,Portugal
7th_century,,None
8th_century,france,France
90377_Sedna,,None
9th_century,iraq,Iraq
A._E._J._Collins,,England.
Aachen,germany,Germany
Aardvark,,Africa
Aarhus,denmark,Denmark.
Abac%C3%A1,philippines,Philippines
Abacus,china,China
Abadan,iran,Iran
Abbadid,spain,Spain
Abbasid,iraq,Iraq
Abbas_I_of_Persia,iran,Iran
Abbey,,England.
Abbey_Theatre,ireland,Ireland
Abbot,united kingdom,United Kingdom
Abel_Tasman,netherlands,Netherlands
Aberdeen,,Scotland
Aberration_of_light,,None
Aberystwyth,,Wales
Abhidhamma_Pitaka,sri lanka,Sri Lanka.
Abidjan,,Côte d'Ivoire
Abkhazia,georgia,Georgia
Able_Archer_83,poland,Poland
ABO_blood_group_system,japan,Japan
Abraham_Goldfaden,romania,Romania
Abraham_Lincoln,,USA
Absinthe,france,France
Absolute_zero,,None
Abstract_art,,None
Abuja,nigeria,Nigeria
Abu_Dhabi,united arab emirates,United Arab Emirates
Acceleration,,None
Accountancy,united kingdom,United Kingdom
Accra,ghana,Ghana
Acetic_acid,,None
Acetone,,None
Achilles,greece,Greece
Achilles_tendon,,None
Acid_rain,united states,United States
Acorn_Computers,,England
Actinium,france,France
Action_potential,,None
Actor,,None
Acts_of_Union_1707,united kingdom,United Kingdom
Actuary,united kingdom,United Kingdom
AC_DC,australia,Australia
Adam_Smith,,Scotland
Addis_Ababa,ethiopia,Ethiopia
Adelaide,australia,Australia
Adenosine_triphosphate,,None
Adi_Shankara,india,India
Adolf_Hitler,germany,Germany
Adriaen_van_der_Donck,netherlands,Netherlands
Advertising,japan,Japan
Aesthetics,,None
Afghanistan,afghanistan,Afghanistan
Afghan_Hound,afghanistan,Afghanistan
Africa,south africa,South Africa
African_American_literature,united states,United States.
African_Black_Oystercatcher,south africa,South Africa
African_Brush-tailed_Porcupine,cameroon,Cameroon
African_Buffalo,south africa,South Africa
African_clawed_frog,south africa,South Africa
African_Darter,,None
African_dwarf_frog,,None
African_Great_Lakes,uganda,Uganda.
African_Grey_Hornbill,,None
African_Grey_Parrot,,Congo
African_Jacana,,None
African_Penguin,south africa,South Africa
African_slave_trade,nigeria,Nigeria
African_Union,ethiopia,Ethiopia.
African_Wild_Dog,botswana,Botswana
Afrikaans,south africa,South Africa
Agamemnon,greece,Greece
Age_of_Enlightenment,france,France
Aggregator,,None
Agnosticism,,None
Agriculture,germany,Germany
AIDS,,Africa
Airbus,france,France
Airbus_A380,france,France
Aircraft,united kingdom,United Kingdom.
Aircraft_carrier,united states,United States
Airship,united states,United States.
Ajax_%28programming%29,,None
AK-47,russia,Russia
Akbar,india,India
Akhenaten,egypt,Egypt
Akira_Kurosawa,japan,Japan
Akkadian_Empire,,Babylonia
Akrotiri_and_Dhekelia,cyprus,Cyprus.
Aksumite_currency,ethiopia,Ethiopia
Alamosaurus,united states,United States
Alan_Turing,,England
Albania,albania,Albania.
Albatross,new zealand,New Zealand.
Albertosaurus,canada,Canada
Alberto_Santos-Dumont,brazil,Brazil
Albert_Einstein,germany,Germany
Albigensian_Crusade,france,France
Albinism,,None
Albrecht_D%C3%BCrer,germany,Germany
Albrecht_Rodenbach,belgium,Belgium
Alchemy,egypt,Egypt
Alcibiades,greece,Greece
Alcohol,,None
ALCO_FA,united states,United States
Aleksandr_Pushkin,russia,Russia
Aleksandr_Vasilevsky,russia,Russia
Aleksey_Arakcheyev,russia,Russia
Alexander_Graham_Bell,canada,Canada
Alexander_Hamilton,united states,United States
Alexander_the_Great,,Macedon
Alfred_Hitchcock,,England
Alfred_Nobel,sweden,Sweden
Alfred_the_Great,,England
Algebra,,None
Algeria,algeria,Algeria
Algerian_Civil_War,algeria,Algeria
Algiers,algeria,Algeria
Algol,,Perseus
Algoma_Central_Railway,canada,Canada
Algorithm,,None
Alice%27s_Adventures_in_Wonderland,,England
Allah,saudi arabia,Saudi Arabia
Allegory_in_the_Middle_Ages,italy,Italy
Alligator,united states,United States
Alliterative_verse,denmark,Denmark
Allosaurus,united states,United States
All_Blacks,new zealand,New Zealand
All_your_base_are_belong_to_us,japan,Japan
All_You_Need_Is_Love_%28The_JAMs_song%29,,UK.
Almaty,kazakhstan,Kazakhstan
Almond,turkey,Turkey.
Alpaca,peru,Peru
Alphabet,,None
Alternating_current,united states,United States
Alternation_of_generations,,None
Alternative_rock,united kingdom,United Kingdom
Aluminium,,None
Aluminium_chloride,,None
Alzheimer%27s_disease,germany,Germany
Al_Jazeera,qatar,Qatar
Amaranth_oil,mexico,Mexico
Amarillo%2C_Texas,united states,United States
Amazon_Basin,brazil,Brazil
Amazon_parrot,mexico,Mexico
Amazon_Rainforest,brazil,Brazil
Amazon_River,brazil,Brazil
Amber,poland,Poland.
Amda_Seyon_I,ethiopia,Ethiopia
American_Civil_War,united states,United States of America
American_English,united states,United States
American_football,united states,United States
American_popular_music,united states,United States
American_Revolutionary_War,france,France.
American_Samoa,samoa,American Samoa.
Americium,united states,United States
Amish,united states,United States
Ammolite,canada,Canada
Ammonia,china,China
Ammonite,,USA.
Ammosaurus,united states,United States
Amsterdam,netherlands,Netherlands
Amtrak,united states,United States
Amur,china,China
Anaconda,brazil,Brazil.
Analytical_Marxism,,None
Anarchism,,None
Anarcho-capitalism,united states,United States
Anatomy,,None
Ancient_Egypt,egypt,Egypt
Ancient_Greece,greece,Greece
Ancient_history,,None
Ancient_Rome,italy,Italy
Andes,chile,Chile.
Andorra,andorra,Andorra.
Andr%C3%A9s_Nocioni,argentina,Argentina
Andrew_Carnegie,,Scotland
Andrew_Dickson_White,united states,United States.
Andrew_Gonzalez,philippines,Philippines
Andrew_Jackson,,USA
Andrew_Johnson,,USA
Andrew_Robinson,united states,United States
Andriyivskyy_Descent,ukraine,Ukraine
Andromeda_Galaxy,,None
Andy_Warhol,,USA.
Anemia,,None
Angelica,iceland,Iceland
Angel_shark,,None
