,Top_1_name,Top_2_name,Top_1_count,Top_2_count
%C3%81ed%C3%A1n_mac_Gabr%C3%A1in,Ireland,Isle of Man,8,4
%C3%85land,Finland,Åland Islands,36,16
%C3%89douard_Manet,Italy,France,2,2
%C3%89ire,Ireland,Canada,43,4
%C3%93engus_I_of_the_Picts,Ireland,,9,
%E2%82%AC2_commemorative_coins,Luxembourg,Vatican City,15,12
10th_century,France,India,3,2
11th_century,Niger,France,2,2
12th_century,France,Japan,4,2
13th_century,China,Hungary,3,3
14th_century,France,Poland,4,4
15th_century,Spain,France,7,5
15th_Marine_Expeditionary_Unit,Iraq,United States,11,5
16th_century,Japan,Russia,6,6
16_Cygni,,,,
16_Cygni_Bb,,,,
1755_Lisbon_earthquake,Portugal,,6,
17th_century,France,Russia,13,6
1896_Summer_Olympics,Greece,Austria,15,12
18th_century,Russia,Austria,9,7
1928_Okeechobee_Hurricane,Puerto Rico,Bahamas,13,7
1973_oil_crisis,Israel,United States,14,14
1980_eruption_of_Mount_St._Helens,,,,
1997_Pacific_hurricane_season,Mexico,United States,5,3
19th_century,United States,Japan,12,10
1st_century,China,,2,
1st_century_BC,Egypt,Armenia,3,2
1_Ceres,,,,
2-6-0,Jersey,,5,
2-8-0,Germany,,2,
2003_Atlantic_hurricane_season,Mexico,Bermuda,11,8
2004_Atlantic_hurricane_season,France,Bahamas,27,10
2004_Indian_Ocean_earthquake,India,Indonesia,39,18
2005_Atlantic_hurricane_season,Mexico,United States,12,11
2005_Hertfordshire_Oil_Storage_Terminal_fire,France,,2,
2005_Kashmir_earthquake,Pakistan,India,50,22
2005_Lake_Tanganyika_earthquake,Burundi,,2,
2005_Sumatra_earthquake,India,Australia,12,7
20th_century,United States,China,7,3
21st_century,India,France,10,7
2nd_century,,,,
3rd_century,China,,2,
3_Juno,,,,
4-2-0,,,,
4-4-0,,,,
4-6-0,,,,
47_Ursae_Majoris,,,,
47_Ursae_Majoris_b,,,,
47_Ursae_Majoris_c,,,,
4th_century,,,,
4_Vesta,,,,
55_Cancri,,,,
55_Cancri_b,,,,
55_Cancri_c,,,,
55_Cancri_d,,,,
55_Cancri_e,,,,
5th_century,Ireland,Indonesia,2,2
6-2-0,,,,
6th_century,China,Japan,5,2
7th_century,China,India,5,2
8th_century,,,,
90377_Sedna,Chile,Chad,2,2
9th_century,Iraq,Bulgaria,2,2
A._E._J._Collins,India,France,3,2
Aachen,Germany,Russia,7,3
Aardvark,,,,
Aarhus,Denmark,Germany,16,3
Abac%C3%A1,Philippines,Guatemala,4,2
Abacus,Japan,Russia,9,7
Abadan,Iran,Iraq,12,5
Abbadid,,,,
Abbasid,Syria,Iraq,3,3
Abbas_I_of_Persia,Armenia,Iran,3,3
Abbey,Egypt,France,6,4
Abbey_Theatre,Ireland,,7,
Abbot,France,Egypt,4,4
Abel_Tasman,New Zealand,Australia,8,8
Aberdeen,France,Zimbabwe,3,2
Aberration_of_light,,,,
Aberystwyth,,,,
Abhidhamma_Pitaka,,,,
Abidjan,Burkina Faso,Niger,2,2
Abkhazia,Georgia,Russia,111,51
Able_Archer_83,United States,Russia,12,5
ABO_blood_group_system,Russia,,3,
Abraham_Goldfaden,Romania,Russia,22,18
Abraham_Lincoln,United States,India,14,5
Absinthe,France,Switzerland,16,13
Absolute_zero,,,,
Abstract_art,,,,
Abuja,Niger,Nigeria,16,16
Abu_Dhabi,Oman,Saudi Arabia,4,3
Acceleration,,,,
Accountancy,Canada,Australia,5,3
Accra,Ghana,,19,
Acetic_acid,Germany,,2,
Acetone,,,,
Achilles,Laos,,2,
Achilles_tendon,,,,
Acid_rain,,,,
Acorn_Computers,,,,
Actinium,,,,
Action_potential,,,,
Actor,India,,3,
Acts_of_Union_1707,United Kingdom,Ireland,6,6
Actuary,Ireland,France,3,2
AC_DC,Australia,New Zealand,17,2
Adam_Smith,,,,
Addis_Ababa,Ethiopia,Djibouti,26,2
Adelaide,Australia,Vietnam,74,2
Adenosine_triphosphate,,,,
Adi_Shankara,India,,13,
Adolf_Hitler,Germany,France,53,15
Adriaen_van_der_Donck,India,Netherlands,21,8
Advertising,Sweden,United States,3,3
Aesthetics,India,Japan,4,2
Afghanistan,Afghanistan,Iran,99,16
Afghan_Hound,Afghanistan,Russia,3,2
Africa,South Africa,Egypt,17,16
African_American_literature,United States,Jamaica,9,2
African_Black_Oystercatcher,,,,
African_Brush-tailed_Porcupine,Cameroon,,2,
African_Buffalo,,,,
African_clawed_frog,,,,
African_Darter,,,,
African_dwarf_frog,,,,
African_Great_Lakes,Burundi,Rwanda,2,2
African_Grey_Hornbill,,,,
African_Grey_Parrot,,,,
African_Jacana,,,,
African_Penguin,Namibia,,2,
African_slave_trade,India,Ethiopia,6,4
African_Union,Sudan,Niger,10,10
African_Wild_Dog,Botswana,,3,
Afrikaans,South Africa,Netherlands,29,11
Agamemnon,Greece,,2,
Age_of_Enlightenment,Russia,Germany,4,2
Aggregator,,,,
Agnosticism,,,,
Agriculture,Egypt,Indonesia,4,4
AIDS,Zimbabwe,Uganda,4,3
